date,WGT_ya_n,WGT_pa_n,WGT_oa_n
01-May-2022,1547109.775268555,11879907.1809082,3560624.870117188
01-Jun-2022,1753397.713012695,11511933.98168945,4040796.462402344
01-Jul-2022,2009644.086547852,10977892.61486816,4108310.830078125
01-Aug-2022,1772970.571655273,11451309.08679199,3820181.212280273
01-Sep-2022,1427601.586914063,11115516.6472168,3940216.373657227
01-Oct-2022,1370329.545288086,11521567.3762207,4628578.494018555
01-Nov-2022,1349472.911865234,11700861.40405273,4297957.511230469
01-Dec-2022,1811538.22253418,11243214.85327148,4422885.106079102
01-Jan-2023,1717570.117919922,12469790.83215332,4165540.149291992
01-Feb-2023,1895218.557128906,13573933.12097168,4595248.202758789
01-Mar-2023,1668311.028076172,13918673.03063965,4732657.633544922
01-Apr-2023,1875675.643676758,12796954.87597656,4705425.46472168
01-May-2023,1503016.934082031,13344229.18762207,4645229.106567383
01-Jun-2023,1790620.798950195,12752442.24487305,4183668.537597656
01-Jul-2023,2301552.701660156,12514253.86938477,4236453.521972656
01-Aug-2023,1928288.046264648,12567341.97192383,4308241.333129883
01-Sep-2023,1614741.998901367,12433590.66638184,4176890.398193359
