date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
27-Nov-1961,3.07288,4.2370315,5.1062617,5.8497791,9.5540771,.59304357,7.4207768
28-Nov-1961,6.130794,4.2069402,5.3948541,2.7483966,5.4714589,7.2799335,5.4441562
29-Nov-1961,6.6242528,6.3670874,6.0729733,8.0898142,9.7891045,2.4628098,7.4537625
30-Nov-1961,4.0052519,3.8473988,3.7701347,7.9597516,5.5005684,7.6384039,2.3605211
01-Dec-1961,4.3162832,4.0229206,6.0409179,5.6362801,5.1282754,1.6856898,5.0227962
02-Dec-1961,4.8275237,4.1589808,7.253221,4.4927778,4.3987722,4.6102161,6.1162863
03-Dec-1961,-1.8721385,3.8407655,5.4993172,1.6959378,5.5493097,5.193985,6.4690948
04-Dec-1961,6.3373528,4.863616,6.430985,3.348387,4.5827489,6.419311,4.5583582
05-Dec-1961,8.0539103,5.3095641,4.3846164,.04868887,9.2324982,11.455817,6.6249027
06-Dec-1961,6.2572021,4.5091939,3.9832551,3.6367493,6.8034835,3.824316,5.7100024
07-Dec-1961,6.4766164,4.6365037,8.0430794,7.6013756,2.6026413,.16893056,4.1978769
08-Dec-1961,5.5536604,4.5414662,5.5565457,9.4480429,4.9885187,1.4506679,4.9120588
09-Dec-1961,6.0238104,7.2428489,8.1297398,2.2072227,5.9543786,7.3584247,5.4176598
10-Dec-1961,7.4825783,5.1816745,4.5050235,1.359835,8.9963779,.64538008,6.73525
11-Dec-1961,5.6505694,5.391396,4.9275689,2.0480976,6.0824385,4.3884115,10.288508
12-Dec-1961,10.913539,6.5978107,8.5488071,11.71607,8.7303629,6.8663588,6.1098132
13-Dec-1961,5.318264,3.7771261,5.1627541,8.1488981,6.5307341,-.51726139,10.31364
14-Dec-1961,7.5577707,4.2277813,6.8041472,9.6285667,7.0977359,2.4615474,6.9409223
15-Dec-1961,5.8486705,5.7967162,7.5774665,-1.0363922,5.6819139,3.3711746,5.8393264
16-Dec-1961,8.0061817,3.4175048,6.5493922,-1.2648884,7.0844126,5.8710537,4.8853259
17-Dec-1961,6.3892994,5.7831416,6.5522304,9.3018532,2.7581224,10.750093,7.4597573
